Rk,Player,Tm,,,,,,,,
113,Josh Richardson\richajo01,BOS,,,,,,,,
114,Marvin Bagley III\baglema01,SAC,,,,,,,,
115,Devonte' Graham\grahade01,NOP,,,,,,,,
116,Dwight Powell\poweldw01,DAL,,,,,,,,
117,Zion Williamson\willizi01,NOP,,,,,,,,
118,Larry Nance Jr.\nancela02,POR,,,,,,,,
119,Jeremy Lamb\lambje01,IND,,,,,,,,
120,Richaun Holmes\holmeri01,SAC,,,,,,,,
121,Reggie Jackson\jacksre01,LAC,,,,,,,,
122,Anthony Edwards\edwaran01,MIN,,,,,,,,
123,Al-Farouq Aminu\aminual01,SAS,,,,,,,,
124,Luka Dončić\doncilu01,DAL,,,,,,,,
125,Cade Cunningham\cunnica01,DET,,,,,,,,
126,Danny Green\greenda02,PHI,,,,,,,,
127,Tomáš Satoranský\satorto01,NOP,,,,,,,,
128,Kyle Anderson\anderky01,MEM,,,,,,,,
129,Serge Ibaka\ibakase01,LAC,,,,,,,,
130,Jae Crowder\crowdja01,PHO,,,,,,,,
131,Montrezl Harrell\harremo01,WAS,,,,,,,,
132,Tristan Thompson\thomptr01,SAC,,,,,,,,
133,Derrick Favors\favorde01,OKC,,,,,,,,
134,Derrick Jones Jr.\jonesde02,CHI,,,,,,,,
135,Ja Morant\moranja01,MEM,,,,,,,,
136,Reggie Bullock\bullore01,DAL,,,,,,,,
137,Alec Burks\burksal01,NYK,,,,,,,,
138,Talen Horton-Tucker\hortota01,LAL,,,,,,,,
139,Jaren Jackson Jr.\jacksja02,MEM,,,,,,,,
140,James Wiseman\wisemja01,GSW,,,,,,,,
141,Nicolas Batum\batumni01,CHO,,,,,,,,
142,Dario Šarić\saricda01,PHO,,,,,,,,
143,Jalen Green\greenja05,HOU,,,,,,,,
144,Nerlens Noel\noelne01,NYK,,,,,,,,
145,Jakob Poeltl\poeltja01,SAS,,,,,,,,
146,Maxi Kleber\klebima01,DAL,,,,,,,,
147,Thomas Bryant\bryanth01,WAS,,,,,,,,
148,Kemba Walker\walkeke02,NYK,,,,,,,,
149,Royce O'Neale\onealro01,UTA,,,,,,,,
150,RJ Barrett\barrerj01,NYK,,,,,,,,
151,Alex Caruso\carusal01,CHI,,,,,,,,
152,Delon Wright\wrighde01,ATL,,,,,,,,
153,De'Anthony Melton\meltode01,MEM,,,,,,,,
154,Daniel Theis\theisda01,HOU,,,,,,,,
155,Monte Morris\morrimo01,DEN,,,,,,,,
156,Trae Young\youngtr01,ATL,,,,,,,,
157,JaMychal Green\greenja01,DEN,,,,,,,,
158,LaMelo Ball\ballla01,CHO,,,,,,,,
159,Seth Curry\curryse01,PHI,,,,,,,,
160,Mason Plumlee\plumlma01,CHO,,,,,,,,
161,Evan Mobley\mobleev01,CLE,,,,,,,,
162,Cedi Osman\osmande01,CLE,,,,,,,,
163,DeAndre Jordan\jordade01,DET,,,,,,,,
164,De'Andre Hunter\huntede01,ATL,,,,,,,,
165,Mo Bamba\bambamo01,ORL,,,,,,,,
166,Tyus Jones\jonesty01,MEM,,,,,,,,
167,Ivica Zubac\zubaciv01,LAC,,,,,,,,
168,T.J. McConnell\mccontj01,IND,,,,,,,,
169,Patrick Williams\willipa01,CHI,,,,,,,,
170,Scottie Barnes\barnesc01,TOR,,,,,,,,
171,Darius Garland\garlada01,CLE,,,,,,,,
172,Juancho Hernangómez\hernaju01,BOS,,,,,,,,
173,Chris Boucher\bouchch01,TOR,,,,,,,,
174,D.J. Augustin\augusdj01,HOU,,,,,,,,
175,P.J. Tucker\tuckepj01,MIA,,,,,,,,
176,Zach Collins\colliza01,SAS,,,,,,,,
